Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),confidence,field,
19,27.11,1.532,79,277.182,9.26,612893,0.689,1.346,0.247,0,
23,27.10,1.548,66,277.182,8.46,612893,0.698,1.363,0.228,0,
27,27.11,1.556,63,277.182,7.66,612893,0.703,1.373,0.208,0,
31,27.12,1.508,67,277.182,6.86,612893,0.683,1.333,0.180,0,
35,31.92,1.592,50,277.182,6.07,612893,0.837,1.344,0.168,0,
39,31.91,1.560,62,277.182,5.27,612893,0.821,1.319,0.143,0,
43,31.92,1.524,64,277.182,4.47,612893,0.803,1.290,0.119,0,
47,31.93,1.580,53,277.182,3.67,612893,0.834,1.338,0.101,0,
51,27.12,1.508,66,277.182,2.87,612893,0.686,1.341,0.075,0,
55,27.11,1.528,65,277.182,2.07,612893,0.696,1.359,0.055,0,
59,27.14,1.524,67,277.182,1.27,612893,0.695,1.356,0.034,0,
63,27.14,1.544,59,277.182,0.47,612893,0.704,1.374,0.013,0,
67,32.04,1.552,59,277.232,-0.33,612893,0.823,1.316,-0.009,0,
71,32.01,1.552,63,277.232,-1.13,612893,0.822,1.316,-0.031,0,
75,32.04,1.536,64,277.232,-1.93,612893,0.814,1.301,-0.052,0,
79,32.03,1.516,62,277.232,-2.73,612893,0.803,1.284,-0.072,0,
83,27.23,1.564,85,277.232,-3.53,612893,0.714,1.388,-0.096,0,
87,27.21,1.544,75,277.232,-4.33,612893,0.704,1.369,-0.116,0,
91,27.23,1.504,79,277.232,-5.13,612893,0.685,1.332,-0.134,0,
95,27.22,1.512,63,277.232,-5.92,612893,0.688,1.337,-0.156,0,
99,32.01,1.560,58,277.232,-6.72,612893,0.821,1.314,-0.183,0,
103,32.00,1.544,56,277.232,-7.52,612893,0.811,1.298,-0.202,0,
107,32.02,1.536,55,277.232,-8.32,612893,0.806,1.289,-0.222,0,
111,32.03,1.576,52,277.232,-9.12,612893,0.825,1.319,-0.250,0,
7,32.10,1.680,29,277.282,11.66,612977,0.874,1.394,0.340,0,
11,32.11,1.632,36,277.282,10.86,612977,0.852,1.358,0.308,0,
15,32.12,1.576,46,277.282,10.06,612977,0.825,1.314,0.275,0,
19,27.31,1.516,79,277.282,9.26,612977,0.687,1.329,0.244,0,
23,27.30,1.528,70,277.282,8.46,612977,0.693,1.343,0.225,0,
27,27.31,1.536,62,277.282,7.66,612977,0.699,1.353,0.205,0,
31,27.32,1.520,66,277.282,6.86,612977,0.693,1.341,0.182,0,
39,32.11,1.508,61,277.282,5.27,612977,0.798,1.272,0.138,0,
43,32.12,1.536,66,277.282,4.47,612977,0.814,1.297,0.120,0,
47,32.13,1.552,57,277.282,3.67,612977,0.824,1.312,0.099,0,
51,27.32,1.492,64,277.282,2.87,612977,0.684,1.324,0.075,0,
55,27.31,1.512,61,277.282,2.07,612977,0.693,1.343,0.055,0,
59,27.34,1.536,58,277.282,1.27,612977,0.705,1.364,0.034,0,
63,27.34,1.540,63,277.282,0.47,612977,0.707,1.368,0.013,0,
67,32.24,1.544,53,277.332,-0.33,612977,0.824,1.306,-0.009,0,
71,32.21,1.520,54,277.332,-1.13,612977,0.810,1.286,-0.030,0,
75,32.24,1.552,59,277.332,-1.93,612977,0.827,1.312,-0.052,0,
79,32.23,1.540,61,277.332,-2.73,612977,0.820,1.301,-0.073,0,
83,27.43,1.532,83,277.332,-3.53,612977,0.704,1.357,-0.094,0,
87,27.41,1.508,75,277.332,-4.33,612977,0.692,1.335,-0.114,0,
91,27.43,1.460,68,277.332,-5.13,612977,0.670,1.291,-0.130,0,
95,27.42,1.496,63,277.332,-5.92,612977,0.685,1.321,-0.154,0,
99,32.21,1.584,57,277.332,-6.72,612977,0.839,1.331,-0.185,0,
103,32.20,1.540,56,277.332,-7.52,612977,0.814,1.292,-0.202,0,
107,32.22,1.528,50,277.332,-8.32,612977,0.806,1.279,-0.221,0,
